bookid,paixu,CASno,bookname,enbookname,ordernum,fapiaonum,krname,date1,date2,cjsl,style,price1,price2,ysfs,ysfy,hl,zsh,huokuan,lirun,yundan,date3,cpgg,baozhuang,isyp,gyscontact,gysname,iskucun,kucun,fj1,fj2,ywy,isjs,isdh,isfh,isfp,isfxbg,zhfrom,ists,date4,issh,iskp,isgcfp,mylx,ishx,date5,iswcts,ishkqf,qgchk,krqk,isok,krkpdz,krfhdz,content
4785,1,17325-26-7,咪唑-4-甲酸甲酯,Methyl 4-imidazolecarboxylate,,,0008-德国-ABX,2011-1-19,5~8天,100克,0,2500/100克,530USD,TNT,,,530,2500,900,389 624 060,,,,0,陆小姐0512-65857511,苏州凯达生物医药技术有限公司,0,,,,赵国梁,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4786,1,57103-20-5,3comma_format_wuq6-二溴-9-苯基咔唑,3comma_format_wuq6-Dibromo-9-phenylcaarbazole,RCT-101231,,0005-Reddy-US,2011-1-19,18~20天,500克,0,3500元,USD690,TNT,,,0,0,600,547 376 504,,,,0,赵经理13580821201 赵小姐 +86-769-22181286,东莞市阿比亚能源科技有限公司,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4787,1,591-18-4,间溴碘苯,1-Bromo-3-iodobenzene,,,0007 -Chem-韩国,2011-1-20,5~8天,1kg,0,600元,200,TNT,,,0,0,0,389 624 294,,,,0,陈经理 0519-8233767,金坛市思达化工有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
4788,1,327-97-9,绿原酸,Chlorogenic acid,,,0007 -Chem-韩国,2011-1-20,5~8天,100g,0,1200,310,TNT,,,0,0,0,389 624 294,,,,0,先礼红 13808177790,成都天源天然产物有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
4789,1,520-18-3,山奈酚,Kaempferol,,,0007-4Chem-韩国,2011-1-20,5~8天,100克,0,800元,225,TNT,,,0,0,0,389 624 250,,,,0,周小姐15987165453,贵州普蓝卡医药研究有限公司,0,,,,蓝海霞,0,1,1,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
4790,1,18162-48-6,叔丁基二甲基氯硅烷,tert-Butyldimethylchlorosilane (TBSCl),32546,,0002-英国-Mol,2011-1-20,5~8天,10kg,0,160/公斤,530,TNT,,,530,1600,1200,389 624 073,,,,0,鲁经理0374-5699606,河南豫辰精细化工有限公司,0,,,,,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4791,1,5122-95-2,3-联苯硼酸,Biphenyl-3-boronic acid,,,0007 -Chem-韩国,2011-1-20,5~8天,100g,0,2000元,420,TNT,,,420,2000,580,389 624 294,,,,0,应发能 13805834035,宁波应发硼纳有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
4792,1,3975-77-7,1-溴-2comma_format_wuq4comma_format_wuq6-三叔丁基苯,1-Bromo-2comma_format_wuq4comma_format_wuq6-tritert-butylbenzene,410045,,0001-开-Germany,2011-1-20,5~8天,50克,0,2000元,420,TNT,,,420,2000,580,389 624 113,,,,0,周先生 ：021-64251348,上海氟德化工有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
4793,1,83-56-7,1comma_format_wuq5-二羟基萘,1comma_format_wuq5-Dihydroxynaphthalene,32556,,0002-英国-Mol,2011-1-21,5~8天,5kg,0,100/kg,230,TNT,,,230,500,500,389 624 073,,,,0,庾经理   13901552533,吴江市汇丰化工厂,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4794,1,52304-36-6,驱蚊酯,Ethyl butylacetylaminopropionate,32484,5939,0002-英国-Mol,2011-1-21,,50kg,0,100/公斤,1150,,,,1150,5000,-155,,,,,0,李经理0731-85138163,湖南众业科技有限公司,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4795,1,85070-48-0,3-氯-2-氟苯甲醛,3-Chloro-2-fluorobenzaldehyde,32440,,0002-英国-Mol,2011-1-21,,37公斤,0,2000/kg,12765,TNT,,,12765,74000,6600,389 624 325,,,,0,钟经理025-84341022,南京朗全科技实业有限公司,0,,,,马燕芬,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4796,1,1711-06-4,间甲基苯甲酰氯,m-Toluoyl chloride,32298,,0002-英国-Mol,2011-1-21,,500克,0,100元,125,,,,125,100,660,,,,,0,13806147863徐经理,金坛市医药原料精制厂,0,,,,赵国梁,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4797,1,11032-49-8,维生素K2,Vitamin K2,32463,,0002-英国-Mol,2011-1-21,5~8天,5克,0,500元,180,,,,180,500,500,,,,,0,,,0,,,,马燕芬,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4798,1,51-55-8,阿托品,Atropine,32529,,0002-英国-Mol,2011-1-24,5~8天,500g,0,850,245,TNT,,,245,850,580,547 375 852,,,,0,郜（gao）先生 13353857966,河南普瑞制药有限公司,0,,,,蓝海霞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4799,1,58-85-5,D-生物素,D-biotin,410048,,0001-开-Germany,2011-1-24,5~8天,50克,0,300,120,TNT,,,120,300,430,389 624 161,,,,0,0519-85036188 陈小姐,镇江均达化工有限公司,0,,,,赵国梁,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4800,1,76-83-5,三苯基氯甲烷,Chlorotriphenylmethane (Trityl chloride),32553,,0002-英国-Mol,2011-1-25,5~8天,9kg,0,60/kg,35/kg,TNT,,,315,540,900,389 624 100,,,,0,0519-83293217李静,常州津伟达化工有限公司,0,,,,赵国梁,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4801,1,3430-17-9,2-溴-3-甲基吡啶,2-Bromo-3-methylpyridine,,,0007 -Chem-韩国,2011-1-25,5~8天,100g,0,300/100g,220,TNT,,,220,300,1080,389 624 294,,,,0,0519-83293217李静,常州津伟达化工有限公司,0,,,,赵国梁,0,1,1,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
4802,1,1314-13-2,氧化锌,Zinc oxide,32541,,0002-英国-Mol,2011-1-26,,100公斤,0,19/公斤,1150,TNT,,,1150,1900,-25,389 624 087和389 624 303,,,,0,刘先生 13962735333,南通市华正氧化锌有限公司,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4803,1,13811-71-7,D-(-)-酒石酸二乙酯,Diethyl-D-tartrate,80711,,0003 德国-Mole,2011-1-28,5~8天,5kg,0,300/kg,100/1kg,TNT,,,500,1500,1250,389 624 215,,,,0,028-85210710陈小姐,成都丽凯手性技术有限公司,0,,,,赵国梁,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4804,1,850-52-2,四烯雌酮,,32549,,0002-英国-Mol,2011-1-28,3月7日前,2.5公斤,0,4.4万/公斤,7200/kg,,,,18000,110000,6750,,,,,1,15068073474-徐经理,浙江嘉华化工有限公司,0,,,,倪华英,0,1,0,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,2011年3月9日发了5克样品给客户
4805,1,4132-28-9,2comma_format_wuq3comma_format_wuq4comma_format_wuq6-四-o-苄基-D-吡喃葡萄糖,,32492,,0002-英国-Mol,2011-1-28,5~8天,6kg,0,1200/kg,USD216/kg,TNT,,,1296,7200,750,389 624 285,,,,0,李经理13162937217,沈阳达康医药科技有限公司,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4806,1,446-36-6,5-氟-2-硝基苯酚,,410066,,0001-德国-CHEM,2011-1-28,5~8天,15公斤,0,850/公斤,,TNT,,,0,12750,0,389 624 113,,,,0,柳经理 0519-83299352,常州迅达化工有限公司,0,,,,赵国梁,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4807,1,6758-40-3,N-对硝基苯甲酰-L-谷氨酸半水合物,N-(4-Nitrobenzoyl)-L-glutamic acid hemihydrate,80712,,0003 德国-Mole,2011-1-28,,100g,0,1500元,350,TNT,,,350,1500,625,389 624 215,,,,0,021-54308253 张小姐,上海瀚鸿,0,,,,蓝海霞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4808,1,7585-39-9,β-环糊精,beta-Cyclodextrin,32571,,0002-英国-Mol,2011-1-29,5~8天,20kg,0,23/kg,USD20/kg,,,,400,460,940,,,,,0,0571-86069043 邵小姐,杭州胜东贸易有限公司,0,,,,蓝海霞,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4809,1,6402-23-9,乳酸依沙吖啶(一水物),6comma_format_wuq9-Diamino-2-ethoxyacridine lactate monohydrate,32355,,0002-英国-Mol,2011-1-30,5~8天,100g,0,200元,199,,,,199,200,900,,,,,0,,,0,,,,,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4810,1,5987-82-6,奥布卡因盐酸盐,Benoxinate hydrochloride,32178,5947,0002-英国-Mol,2011-1-30,,1公斤,0,20000,4000,TNT,,,4000,20000,0,389 624 334,,,,0,,,0,,,,,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4811,1,5345-54-0,3-氯-4-甲氧基苯胺,,32235,5948,0002-英国-Mol,2011-1-30,,3公斤,0,1600/公斤,795,TNT,,,795,4800,0,389 624 334,,,,0,,,0,,,,,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4812,1,105-53-3,丙二酸二乙酯,Diethyl malonate,80682,5396,0003 德国-Mole,2011-1-30,,10公斤,0,40/公斤,27/kg,TNT,,,270,400,700,389 624 348,,,,0,,,0,,,,赵国梁,0,1,1,0,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4813,1,115074-43-6,莫匹罗星钙二水合物,Mupirocin calcium,410101,,chemos,2011-2-8,5~8天,5g,0,800,220/5g,TNT,,,220,800,530,389 624 161,,,,0,将小姐  13779970577,江苏沃尔德实业有限公司,0,,,,赵国梁,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4814,1,81-04-9,1comma_format_wuq5-萘二磺酸,Armstrong acid,410093,,chemos,2011-2-8,5~8天,500g,0,100,115/500g,TNT,,,115,100,450,389 624 161,,,,0,赵小姐  86-632-7703688   13969421879,枣庄市泰瑞精细化工有限公司,0,,,,马燕芬,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4815,1,12108-13-3,2-甲基环戊二烯三羰基锰comma_format_wuqMMT,Methyl cyclopentadienyl manganese tricarbonyl,410079,,chemos,2011-2-8,5~8天,11kg,0,200/kg,53/kg,TNT,,,583,2200,750,547 376 570,,,,0,刘经理  0533- 7505276,淄博市临淄万通精细化工厂,0,,,,马燕芬,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4817,1,489-84-9,愈创奥,Guaiazulene,410074,,chemos,2011-2-8,5~8天,1kg,0,950,280/kg,TNT,,,280,950,670,547 375 945,,,,0,吴小姐  0794-5294192,江西依思特香料有限公司,0,,,,蓝海霞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4818,1,3041-16-5,1comma_format_wuq4-二氧六环-2-酮,1comma_format_wuq4-Dioxan-2-one,410072,,chemos,2011-2-8,5~8天,100g,0,500,200/100g,TNT,,,200,500,750,389 624 161,,,,0,王小姐,嘉兴市吉拉特化工有限公司,0,,,,赵国梁,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4819,1,999-21-3,顺丁二烯酸二烯丙酯 ；马来酸二烯丙酯,Maleic acid diallyl ester,410071,,chemos,2011-2-8,5~8天,18kg,0,140/kg,38.5/kg,TNT,,,693,2520,600,389 624 161,,,,0,韩小姐0519-88783621,常州夏青化工有限公司,0,,,,蓝海霞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4820,1,938-73-8,乙柳酰胺,Ethoxybenzamid,410070,,chemos,2011-2-8,5~8天,1kg,0,190/kg,120/kg,TNT,,,120,190,440,389 624 161,,,,0,0573-88283621,浙江桐乡市恒达化工有限公司,0,,,,许航飞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4822,1,142-87-0,癸基硫酸钠,Decyl sodium sulfate,410067,,chemos,2011-2-8,5~8天,250g,0,0,90/250g,TNT,,,90,0,400,389 624 161,,,,0,13268009080田先生,清新县汉科化工科技有限公司,0,,,,倪华英,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4823,1,60-31-1,氯化乙酰胆碱,Acetylcholine Cl,ASL02927,,0009-Asce-英国,2011-2-8,假期后2天,1kg,0,3000/kg,620/1kg,TNT,,,620,3000,780,547 375 870,,,,0,茅经理 86-576-86137955,台州英杰生物科技有限公司,0,,,,赵国梁,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4824,1,3648-18-8,二月桂酸二正辛基锡,Di-n-octyl tin dilaurate,0015455,,0006-P&B-USA,2011-2-8,5~8天,2公斤,0,170/kg,USD146/kg,TNT,,,292,340,500,389 624 232,,,,0,,北京正恒化工有限公司,0,,,,赵国梁,0,1,1,0,1,,0,,1,0,0,0,0,,0,1,,,0,,,要先做2011年的鉴定的!
4825,1,225937-10-0,(+)-儿茶精,(+)-Catechin hydrate,40408,,客人编号 0010-cay-US,2011-2-8,5~8天,500g,0,3500,780,TNT,,,780,3500,1300,389 624 192,,,,0,579-88865135comma_format_wuq鲍经理,浙江一新制药股份有限公司,0,,,,赵国梁,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4826,1,103628-48-4,琥珀酸舒马曲坦,Sumatriptan succinate,80725,,0003-德国-Mol,2011-2-8,,500 g,0,7000,1300,TNT,,,1300,7000,800,547 376 606,,,,0,刘小姐 -010-89753524  刘小姐手机15901403430  81769620,北京世纪迈劲生物科技有限公司,0,,,,蓝海霞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4827,1,76-03-9,三氯乙酸,Trichloroacetic acid,32639,,0002-英国-Mol,2011-2-8,,25kg,0,750,USD425/25kg,TNT,,,425,750,500,389 624 201,,,,0,,,0,,,,蓝海霞,0,1,1,0,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4828,1,103-25-3,3-苯丙酸甲酯,Methyl-3-phenylpropionate,32640,,0002-英国-Mol,2011-2-8,5~8天,5公斤,0,130/公斤,USD325/5kg,TNT,,,325,650,1000,389 624 144,,,,0,0510-87546027李经理,宜兴市星宇医药化工有限公司,0,,,,赵国梁,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4829,1,302-79-4,维A酸,Retinoic acid,32619,,0002-英国-Mol,2011-2-8,5~8天,1kg,0,3100元/公斤,649,TNT,,,649,3100,948,389 624 246,,,,0,郭小姐 13801399149  87766920  010-87766913/23,北京贝丽莱斯生物化学有限公司,0,,,,蓝海霞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4830,1,5965-38-8,草酸钴,Cobalt (ll) oxalate dehydrate,32609,,0002-英国-Mol,2011-2-8,5~8天,10kg,0,113/kg,USD37/kg,TNT,,,370,1130,645,547 375 852,,,,0,沈惠良(总经理)    0573-88797288  13705836872,浙江中创金属化工有限公司,0,,,,许航飞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4831,1,17199-29-0,S(+)-扁桃酸,L-(+)-Mandelic acid,32597,,0002-英国-Mol,2011-2-9,5~8天,100 kg,0,105/kg,29.00 USD per 1 kg,,,,2900,10500,3300,,,,,0,13735091339周经理,衢州西普化工有限责任公司,0,,,,赵国梁,0,1,1,1,0,,0,,1,0,0,0,0,,0,1,,,0,,,
4832,1,83-07-8,4-氨基安替比林,4-Aminoantipyrine,32599,,0002-英国-Mol,2011-2-9,5~8天,10kg,0,310/kg,83.00 USD per 1 kg,TNT,,,830,3100,1600,389 624 246,,,,0,（021）59465516沈经理,上海沪试化工有限公司,0,,,,蓝海霞,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4833,1,2353-33-5,5-氮杂-2'-脱氧胞嘧啶核苷,5-Aza-2'-deoxycytidine (Decitabine),32601,,0002-英国-Mol,2011-2-9,5~8天,1g,0,700,188.00 USD per 1 g,TNT,,,188,700,450,389 624 246,,,,0,022-58058776comma_format_wuq 23359620comma_format_wuq18722166796-周经理,天津法莫西医药科技有限公司,0,,,,赵国梁,0,1,1,1,1,,0,,1,0,0,0,0,,0,1,,,0,,,
4834,1,4812-20-8,邻异丙氧基苯酚,2-Isopropoxyphenol,32593,,0002-英国-Mol,2011-2-9,5~8天,500g,0,0,200.00 USD per 500 g,,,,200,0,1100,,,,,0,周总 13873162345,湖南海利化工股份有限公司,0,,,,马燕芬,0,0,0,0,0,,0,,0,0,0,0,0,,0,1,,,0,,,
